day,user_id,value_prop,clicked,view_count,click_count,payment_count,total_spent
2020-11-30,31721,point,0,0,0,1,65.52
2020-11-30,19087,transport,0,0,0,3,131.42
2020-11-30,13345,send_money,0,0,0,3,38.87
2020-11-30,77272,transport,0,1,0,1,9.57
2020-11-30,85328,prepaid,0,0,0,2,161.31
2020-11-30,2453,send_money,0,2,0,0,0.0
2020-11-30,58354,send_money,0,2,0,2,360.4
2020-11-30,5308,link_cobro,0,0,0,1,33.75
2020-11-30,59060,send_money,0,0,0,2,16.41
2020-11-30,44090,point,1,0,0,2,37.31
2020-11-30,26504,credits_consumer,0,1,0,0,0.0
2020-11-30,55568,point,1,1,0,2,52.84
2020-11-30,75113,prepaid,1,1,0,2,158.31
2020-11-30,69165,transport,0,0,0,1,25.96
2020-11-30,66746,point,0,0,0,1,53.62
2020-11-30,72263,cellphone_recharge,0,1,0,0,0.0
2020-11-30,48722,link_cobro,0,1,0,1,44.54
2020-11-30,81364,point,0,0,0,1,11.65
2020-11-30,14206,prepaid,0,1,0,1,25.21
2020-11-30,70909,transport,0,0,0,2,94.98
2020-11-30,78099,send_money,0,0,0,1,38.71
2020-11-30,58354,link_cobro,0,1,0,1,46.95
2020-11-30,7341,cellphone_recharge,0,0,0,1,8.24
2020-11-30,84944,transport,0,1,0,2,110.03
2020-11-30,11648,transport,0,1,0,1,35.45
2020-11-30,80354,cellphone_recharge,0,3,0,3,448.29
2020-11-30,19485,point,0,0,0,2,99.49
2020-11-30,39206,transport,0,0,0,1,5.63
2020-11-30,23050,credits_consumer,0,1,0,1,12.18
2020-11-30,48938,send_money,0,0,0,2,92.22
2020-11-30,32194,credits_consumer,0,1,0,1,110.27
2020-11-30,30014,transport,0,0,0,1,147.65
2020-11-30,12418,link_cobro,0,2,0,1,28.98
2020-11-30,76165,cellphone_recharge,0,0,0,1,4.1
2020-11-30,15384,link_cobro,0,0,0,1,25.06
2020-11-30,71411,cellphone_recharge,0,1,0,2,103.89
2020-11-30,77747,transport,0,0,0,2,143.01
2020-11-30,2271,credits_consumer,0,1,0,1,16.11
2020-11-30,52814,cellphone_recharge,0,0,0,1,15.73
2020-11-30,48907,transport,0,1,1,0,0.0
2020-11-30,4047,point,0,0,0,1,5.94
2020-11-30,97364,transport,0,1,0,0,0.0
2020-11-30,57203,cellphone_recharge,0,0,0,1,1.24
2020-11-30,32275,point,0,0,0,2,99.83
2020-11-30,77196,cellphone_recharge,0,1,0,1,71.25
2020-11-30,30567,link_cobro,1,1,0,0,0.0
2020-11-30,75539,cellphone_recharge,0,2,1,1,161.78
2020-11-30,67056,credits_consumer,0,1,0,0,0.0
2020-11-30,42546,cellphone_recharge,0,0,0,1,158.08
2020-11-30,46144,cellphone_recharge,0,1,0,0,0.0
2020-11-30,5445,send_money,0,1,0,3,149.51
2020-11-30,23342,credits_consumer,0,0,0,1,47.67
2020-11-30,49310,link_cobro,0,2,0,0,0.0
2020-11-30,13345,link_cobro,0,0,0,3,208.97
2020-11-30,59358,cellphone_recharge,0,0,0,1,12.87
2020-11-30,11581,link_cobro,0,1,0,2,42.56
2020-11-30,41275,credits_consumer,0,1,0,2,95.84
2020-11-30,49353,link_cobro,0,1,1,1,49.27
2020-11-30,60726,prepaid,0,1,0,0,0.0
2020-11-30,4713,credits_consumer,0,0,0,1,10.79
2020-11-30,12921,prepaid,0,0,0,2,73.48
2020-11-30,46913,prepaid,1,1,0,0,0.0
2020-11-30,36537,transport,0,1,0,1,30.23
2020-11-30,87738,transport,0,0,0,1,0.31
2020-11-30,65680,transport,0,1,0,1,147.44
2020-11-30,51924,point,0,1,0,1,44.22
2020-11-30,13219,point,0,0,0,1,27.39
2020-11-30,59336,cellphone_recharge,0,0,0,2,99.38
2020-11-30,7570,credits_consumer,0,1,0,1,96.61
2020-11-30,12141,transport,1,1,0,1,88.05
2020-11-30,74792,prepaid,1,1,0,1,16.05
2020-11-30,70232,link_cobro,0,2,0,1,15.04
2020-11-30,29830,transport,1,1,0,0,0.0
2020-11-30,88222,point,0,0,0,3,199.14
2020-11-30,57325,prepaid,0,1,0,1,29.73
2020-11-30,87861,cellphone_recharge,0,2,0,0,0.0
